"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"85","Amino Acid Import Across Plasma Membrane (GO:0089718)","2/27",0.00611772365676616,0.0704249583744012,0,0,18.7181176470588,95.3981070686143,"SLC7A5;SLC3A2"
"86","Peptide Cross-Linking (GO:0018149)","2/27",0.00611772365676616,0.0704249583744012,0,0,18.7181176470588,95.3981070686143,"TGM2;FGFR1"
"87","Negative Regulation Of Programmed Cell Death (GO:0043069)","6/381",0.00635609080469827,0.0723279298465666,0,0,3.85935802469136,19.5219518011688,"PRDX5;HMGA2;PTMA;FSTL1;CD44;PTMS"
"88","Negative Regulation Of Wound Healing (GO:0061045)","2/28",0.00656980092947181,0.0739102604565578,0,0,17.9972850678733,90.4412481720005,"SLC12A2;FGF2"
"89","Positive Regulation Of Cell Adhesion (GO:0045785)","3/88",0.00668549490726184,0.0743667411032497,0,0,8.33109243697479,41.7205699944206,"CCDC80;TPM1;TGM2"
"90","Cellular Response To Chemical Stress (GO:0062197)","3/89",0.00689724459319399,0.0749060255213364,0,0,8.23380398671096,40.9766229532329,"NQO1;PRDX5;PPIA"
"91","Chondrocyte Differentiation (GO:0002062)","2/29",0.00703662663988312,0.0749060255213364,0,0,17.3298474945534,85.8975794976156,"HMGA2;SULF2"
"92","Positive Regulation Of Dephosphorylation (GO:0035306)","2/29",0.00703662663988312,0.0749060255213364,0,0,17.3298474945534,85.8975794976156,"CALM2;PPIA"
"93","Positive Regulation Of Viral Genome Replication (GO:0045070)","2/29",0.00703662663988312,0.0749060255213364,0,0,17.3298474945534,85.8975794976156,"TOP2A;PPIA"
"94","Regulation Of Endothelial Cell Proliferation (GO:0001936)","3/93",0.00778395753469583,0.0811170311510408,0,0,7.86626984126984,38.1961708700479,"SPARC;HMGB2;FGF2"
"95","Positive Regulation Of Protein Kinase B Signaling (GO:0051897)","3/93",0.00778395753469583,0.0811170311510408,0,0,7.86626984126984,38.1961708700479,"HSP90AA1;FGF2;FGFR1"
"96","Positive Regulation Of Intracellular Signal Transduction (GO:1902533)","7/525",0.00791685743794003,0.0816425923287566,0,0,3.27618243243243,15.852663586486,"HSP90AA1;WWC1;S100A4;FGF2;PPIA;TGM2;FGFR1"
"97","Regulation Of Cell Morphogenesis (GO:0022604)","2/31",0.00801398892608046,0.0817922581115429,0,0,16.1330628803245,77.8673032377942,"SPARC;CD44"
"98","Cellular Nitrogen Compound Biosynthetic Process (GO:0044271)","2/32",0.00852426042812288,0.0839494554938128,0,0,15.5945098039216,74.3053287003904,"NQO1;CYP1B1"
"99","Chromosome Condensation (GO:0030261)","2/32",0.00852426042812288,0.0839494554938128,0,0,15.5945098039216,74.3053287003904,"TOP2A;NCAPG"
"100","Heterochromatin Formation (GO:0031507)","2/32",0.00852426042812288,0.0839494554938128,0,0,15.5945098039216,74.3053287003904,"CBX3;HMGA2"
"101","Cellular Response To Oxygen-Containing Compound (GO:1901701)","6/406",0.00856454040896474,0.0839494554938128,0,0,3.61351851851852,17.2007991436047,"SLC12A2;PRDX5;INSIG1;TPM1;HMGB2;TGM2"
"102","Positive Regulation Of Protein Dephosphorylation (GO:0035307)","2/33",0.00904875020945899,0.0869734243433437,0,0,15.0907020872865,71.0036944257572,"CALM2;PPIA"
"103","Positive Regulation Of Telomerase Activity (GO:0051973)","2/33",0.00904875020945899,0.0869734243433437,0,0,15.0907020872865,71.0036944257572,"HSP90AA1;AURKB"
"104","Axonogenesis (GO:0007409)","4/188",0.00918237344248561,0.0874091318082765,0,0,5.16736511262441,24.2373687808133,"HSP90AA1;MAP1B;S100A6;FYN"
"105","Cellular Response To Hydrogen Peroxide (GO:0070301)","2/34",0.0095873278602816,0.0895420243554602,0,0,14.6183823529412,67.936199327942,"CYP1B1;FYN"
"106","Sister Chromatid Segregation (GO:0000819)","2/34",0.0095873278602816,0.0895420243554602,0,0,14.6183823529412,67.936199327942,"TOP2A;NDC80"
"107","Neutral Amino Acid Transport (GO:0015804)","2/35",0.0101398638151235,0.0938174315604885,0,0,14.174688057041,65.0799718659859,"SLC7A5;SLC3A2"
"108","Regulation Of Programmed Cell Death (GO:0043067)","4/195",0.0104006655182129,0.0953394339169517,0,0,4.97621901217435,22.7208461466533,"HSP90AA1;FYN;TGM2;MCM2"
"109","Positive Regulation Of Vasculature Development (GO:1904018)","3/104",0.0105570569927198,0.0958851965393816,0,0,7.00565770862801,31.8824731437304,"CYP1B1;HMGA2;FGF2"
"110","Positive Regulation Of Phospholipase C Activity (GO:0010863)","2/36",0.0107062293438033,0.0963560640942297,0,0,13.7570934256055,62.4149633442857,"FGF2;FGFR1"
"111","Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)","2/37",0.0112862965517373,0.100647447466624,0,0,13.3633613445378,59.9235303691936,"TPM1;FGF2"
"112","Positive Regulation Of MAPK Cascade (GO:0043410)","5/310",0.011386377895214,0.100647447466624,0,0,3.92003198720512,17.5434663869453,"WWC1;FGF2;PPIA;CD44;FGFR1"
"113","Connective Tissue Development (GO:0061448)","2/38",0.0118799383679983,0.102112172879676,0,0,12.9915032679739,57.5900887895353,"CD44;SULF2"
"114","Cellular Response To Salt (GO:1902075)","3/109",0.011983450938931,0.102112172879676,0,0,6.67351752021563,29.5251675389093,"SLC12A2;FYN;TGM2"
"115","Regulation Of MAPK Cascade (GO:0043408)","4/204",0.0121148537222286,0.102112172879676,0,0,4.75012048192771,20.9638159703931,"WWC1;FGF2;PPIA;FGFR1"
"116","Supramolecular Fiber Organization (GO:0097435)","5/316",0.0122899823093866,0.102112172879676,0,0,3.84322798211905,16.9062476512411,"TPM1;SERPINH1;CYP1B1;FYN;ALDOA"
"117","Regulation Of Angiogenesis (GO:0045765)","4/205",0.0123158203680057,0.102112172879676,0,0,4.72624827668885,20.7807022580932,"SPARC;CYP1B1;HMGA2;FGF2"
"118","Neuron Projection Extension (GO:1990138)","2/39",0.0124870285550917,0.102112172879676,0,0,12.6397456279809,55.4008252687306,"HSP90AA1;MAP1B"
"119","Positive Regulation Of Cytokinesis (GO:0032467)","2/39",0.0124870285550917,0.102112172879676,0,0,12.6397456279809,55.4008252687306,"INCENP;CDCA8"
"120","Fibroblast Growth Factor Receptor Signaling Pathway (GO:0008543)","2/39",0.0124870285550917,0.102112172879676,0,0,12.6397456279809,55.4008252687306,"FGF2;FGFR1"
"121","Heterochromatin Organization (GO:0070828)","2/39",0.0124870285550917,0.102112172879676,0,0,12.6397456279809,55.4008252687306,"CBX3;HMGA2"
"122","Mitotic Sister Chromatid Segregation (GO:0000070)","3/111",0.0125835202942632,0.102112172879676,0,0,6.54927248677249,28.6554722467558,"NCAPG;CDCA8;NDC80"
"123","Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900)","3/112",0.0128899173039819,0.10217612020957,0,0,6.48885976408912,28.2350395856406,"CCNF;HMGA2;CALM2"
"124","Positive Regulation Of Cytokine Production (GO:0001819)","5/320",0.0129187884925915,0.10217612020957,0,0,3.79365079365079,16.4988625497219,"C3;SLC7A5;CYP1B1;CD46;SULF2"
"125","L-alpha-amino Acid Transmembrane Transport (GO:1902475)","2/40",0.0131074416834499,0.10217612020957,0,0,12.3065015479876,53.3434557025874,"SLC7A5;SLC3A2"
"126","Regulation Of Protein Dephosphorylation (GO:0035304)","2/40",0.0131074416834499,0.10217612020957,0,0,12.3065015479876,53.3434557025874,"CALM2;PPIA"
"127","Retinoid Metabolic Process (GO:0001523)","2/40",0.0131074416834499,0.10217612020957,0,0,12.3065015479876,53.3434557025874,"RDH11;CYP1B1"
"128","DNA Duplex Unwinding (GO:0032508)","2/41",0.0137410531458103,0.106278457924627,0,0,11.990346907994,51.4070218120389,"HMGA1;MCM2"
"129","Collagen Fibril Organization (GO:0030199)","2/42",0.0143877391432928,0.109568167321999,0,0,11.69,49.5817191477724,"SERPINH1;CYP1B1"
"130","Modulation By Host Of Symbiont Process (GO:0051851)","2/42",0.0143877391432928,0.109568167321999,0,0,11.69,49.5817191477724,"FASN;HMGA2"
"131","Positive Regulation Of Angiogenesis (GO:0045766)","3/119",0.0151542269786124,0.114524310754399,0,0,6.0951354679803,25.5354224033988,"CYP1B1;HMGA2;FGF2"
"132","Bone Development (GO:0060348)","2/44",0.015719843563708,0.116841497925581,0,0,11.1322128851541,46.2302037046321,"TGM2;SULF2"
"133","Response To Unfolded Protein (GO:0006986)","2/44",0.015719843563708,0.116841497925581,0,0,11.1322128851541,46.2302037046321,"HSP90AA1;SERPINH1"
"134","Regulation Of Protein Catabolic Process (GO:0042176)","3/122",0.0161890684697847,0.116841497925581,0,0,5.9405762304922,24.495485198749,"NQO1;HSP90AA1;C4BPB"
"135","Regulation Of Cellular Metabolic Process (GO:0031323)","2/45",0.0164050183956118,0.116841497925581,0,0,10.8727770177839,44.6889400742538,"NPC2;CYP1B1"
"136","Regulation Of Telomerase Activity (GO:0051972)","2/45",0.0164050183956118,0.116841497925581,0,0,10.8727770177839,44.6889400742538,"HSP90AA1;AURKB"
"137","Chromosome Organization (GO:0051276)","2/45",0.0164050183956118,0.116841497925581,0,0,10.8727770177839,44.6889400742538,"TOP2A;CDCA8"
"138","Hexose Metabolic Process (GO:0019318)","2/45",0.0164050183956118,0.116841497925581,0,0,10.8727770177839,44.6889400742538,"FUCA2;ALDOA"
"139","Mitotic Nuclear Division (GO:0140014)","2/45",0.0164050183956118,0.116841497925581,0,0,10.8727770177839,44.6889400742538,"UBE2C;NDC80"
"140","Amino Acid Transport (GO:0006865)","2/46",0.0171027805748303,0.119237695556916,0,0,10.6251336898396,43.2285075275229,"SLC7A5;SLC3A2"
"141","Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536)","2/46",0.0171027805748303,0.119237695556916,0,0,10.6251336898396,43.2285075275229,"FGF2;FGFR1"
"142","Response To Hydrogen Peroxide (GO:0042542)","2/46",0.0171027805748303,0.119237695556916,0,0,10.6251336898396,43.2285075275229,"CYP1B1;FYN"
"143","Apoptotic Process (GO:0006915)","4/228",0.017540534357845,0.121434468631235,0,0,4.23601549053356,17.1272307768354,"EMP1;MAL;PPIA;MCM2"
"144","Regulation Of Wound Healing (GO:0061041)","2/47",0.0178130102807056,0.122464445679851,0,0,10.3884967320261,41.8430590460358,"TNFRSF12A;FGF2"
"145","Regulation Of DNA Binding (GO:0051101)","2/48",0.0185355884774041,0.126197832410107,0,0,10.1621483375959,40.5272846695637,"HMGB2;HMGA2"
"146","Negative Regulation Of Apoptotic Process (GO:0043066)","6/482",0.0186109934665411,0.126197832410107,0,0,3.02474323062558,12.0505855795654,"PRDX5;HMGA2;PTMA;FSTL1;CD44;PTMS"
"147","Unsaturated Fatty Acid Metabolic Process (GO:0033559)","2/49",0.0192703969158626,0.129780224127238,0,0,9.94543178973717,39.2763520233078,"SCD;CYP1B1"
"148","Mitotic Metaphase Plate Congression (GO:0007080)","2/50",0.0200173181098975,0.131777413403005,0,0,9.73774509803922,38.0858545260737,"CDCA8;NDC80"
"149","Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)","2/51",0.0207762353506997,0.131777413403005,0,0,9.53853541416567,36.9517661218361,"CBX3;HMGA2"
"150","Regulation Of Protein Kinase B Signaling (GO:0051896)","3/136",0.0215341605003801,0.131777413403005,0,0,5.31149301825994,20.3861196674659,"HSP90AA1;FGF2;FGFR1"
"151","Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration (GO:0032471)","1/5",0.0215635767386735,0.131777413403005,0,0,57.875,222.051885978165,"TGM2"
"152","Regulation Of Glutamate Receptor Signaling Pathway (GO:1900449)","1/5",0.0215635767386735,0.131777413403005,0,0,57.875,222.051885978165,"FYN"
"153","Negative Regulation Of Protein Polyubiquitination (GO:1902915)","1/5",0.0215635767386735,0.131777413403005,0,0,57.875,222.051885978165,"PPIA"
"154","Aromatic Compound Biosynthetic Process (GO:0019438)","1/5",0.0215635767386735,0.131777413403005,0,0,57.875,222.051885978165,"PSAT1"
"155","Regulation Of Protein Depolymerization (GO:1901879)","1/5",0.0215635767386735,0.131777413403005,0,0,57.875,222.051885978165,"MAP1B"
"156","poly-N-acetyllactosamine Metabolic Process (GO:0030309)","1/5",0.0215635767386735,0.131777413403005,0,0,57.875,222.051885978165,"B3GNT3"
"157","Chondrocyte Development (GO:0002063)","1/5",0.0215635767386735,0.131777413403005,0,0,57.875,222.051885978165,"SULF2"
"158","tRNA Transport (GO:0051031)","1/5",0.0215635767386735,0.131777413403005,0,0,57.875,222.051885978165,"XPOT"
"159","Glycolipid Transport (GO:0046836)","1/5",0.0215635767386735,0.131777413403005,0,0,57.875,222.051885978165,"NPC2"
"160","Glycoside Metabolic Process (GO:0016137)","1/5",0.0215635767386735,0.131777413403005,0,0,57.875,222.051885978165,"FUCA2"
"161","Glycosyl Compound Catabolic Process (GO:1901658)","1/5",0.0215635767386735,0.131777413403005,0,0,57.875,222.051885978165,"FUCA2"
"162","Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949)","1/5",0.0215635767386735,0.131777413403005,0,0,57.875,222.051885978165,"HSP90AA1"
"163","Positive Regulation Of Programmed Cell Death (GO:0043068)","4/245",0.0221744608376945,0.13467924067066,0,0,3.93380992851072,14.9831505849569,"TOP2A;TNFRSF12A;CYP1B1;TGM2"
"164","Carboxylic Acid Transport (GO:0046942)","2/53",0.0223295949434695,0.134794506061188,0,0,9.16355247981546,34.838381920432,"SLC7A5;SLC3A2"
"165","Peptidyl-Tyrosine Modification (GO:0018212)","2/54",0.0231238076828409,0.137907045819352,0,0,8.9868778280543,33.8526031973361,"FYN;FGFR1"
"166","Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535)","2/54",0.0231238076828409,0.137907045819352,0,0,8.9868778280543,33.8526031973361,"FGF2;FGFR1"
"167","Neuron Migration (GO:0001764)","2/55",0.0239295572368588,0.139686421379873,0,0,8.81687014428413,32.9102099312322,"MAP1B;FGFR1"
"168","Positive Regulation Of Transferase Activity (GO:0051347)","3/143",0.0245268158706246,0.139686421379873,0,0,5.04413265306122,18.703584531595,"HSP90AA1;AURKB;FGFR1"
"169","Positive Regulation Of Protein Kinase Activity (GO:0045860)","3/145",0.025421104107132,0.139686421379873,0,0,4.97258551307847,18.2602070884991,"HSP90AA1;HMGA2;CALM2"
"170","Negative Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining (GO:2001033)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"HMGA2"
"171","Regulation Of Entry Of Bacterium Into Host Cell (GO:2000535)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"FUCA2"
"172","Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"PPIA"
"173","Bleb Assembly (GO:0032060)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"EMP1"
"174","Regulation Of Skeletal Muscle Satellite Cell Proliferation (GO:0014842)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"FGF2"
"175","Polyamine Biosynthetic Process (GO:0006596)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"SMS"
"176","Cellular Response To Monoamine Stimulus (GO:0071868)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"TGM2"
"177","Positive Regulation Of B Cell Receptor Signaling Pathway (GO:0050861)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"SLC39A10"
"178","Response To Cocaine (GO:0042220)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"TGM2"
"179","Establishment Of Mitotic Sister Chromatid Cohesion (GO:0034087)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"RAD21"
"180","Free Ubiquitin Chain Polymerization (GO:0010994)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"UBE2C"
"181","Transepithelial Chloride Transport (GO:0030321)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"SLC12A2"
"182","Vascular Wound Healing (GO:0061042)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"MCAM"
"183","Intracellular Sequestering Of Iron Ion (GO:0006880)","1/6",0.0258208233459766,0.139686421379873,0,0,46.2976744186047,169.290872824572,"FTL"
"184","Chordate Embryonic Development (GO:0043009)","2/59",0.0272656761704526,0.145166645212124,0,0,8.19649122807018,29.5247994970601,"SULF2;FGFR1"
"185","Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236)","2/60",0.0281274307040686,0.145166645212124,0,0,8.05476673427992,28.7636525328927,"TNFRSF12A;FGFR1"
"186","Cellular Response To Organic Cyclic Compound (GO:0071407)","3/152",0.0286882409488751,0.145166645212124,0,0,4.73729626078619,16.8234084431725,"INSIG1;CYP1B1;TGM2"
"187","Regulation Of Chromosome Condensation (GO:0060623)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"NCAPG"
"188","Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity (GO:0051342)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"CALM2"
"189","DNA Ligation (GO:0006266)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"TOP2A"
"190","Negative Regulation Of Intracellular Transport (GO:0032387)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"INSIG1"
"191","SREBP Signaling Pathway (GO:0032933)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"INSIG1"
"192","Neuroepithelial Cell Differentiation (GO:0060563)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"MAP1B"
"193","Regulation Of Response To Wounding (GO:1903034)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"TNFRSF12A"
"194","Cellular Response To Potassium Ion (GO:0035865)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"SLC12A2"
"195","Regulation Of Vascular Wound Healing (GO:0061043)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"SLC12A2"
"196","Positive Regulation Of Apoptotic Cell Clearance (GO:2000427)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"C3"
"197","Response To Potassium Ion (GO:0035864)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"SLC12A2"
"198","Positive Regulation Of Chromosome Condensation (GO:1905821)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"NCAPG"
"199","Positive Regulation Of Epithelial Tube Formation (GO:1905278)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"FGF2"
"200","Fructose Metabolic Process (GO:0006000)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"ALDOA"
"201","Glycine Metabolic Process (GO:0006544)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"GCSH"
"202","Glycoside Catabolic Process (GO:0016139)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"FUCA2"
"203","Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060316)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"CALM2"
"204","Leukocyte Aggregation (GO:0070486)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"CD44"
"205","Methionine Metabolic Process (GO:0006555)","1/7",0.0300597598671569,0.145166645212124,0,0,38.5794573643411,135.204327228055,"SMS"
"206","Positive Regulation Of Apoptotic Process (GO:0043065)","4/270",0.0302389108587553,0.145322921117319,0,0,3.55956155448863,12.4535736950723,"TOP2A;TNFRSF12A;CYP1B1;TGM2"
"207","Fatty Acid Biosynthetic Process (GO:0006633)","2/65",0.0325970985921682,0.14831945162622,0,0,7.41363211951447,25.3808067589124,"SCD;FASN"
"208","Negative Regulation Of Immune Response (GO:0050777)","2/66",0.0335224615624404,0.14831945162622,0,0,7.29742647058824,24.7787003431919,"FYN;AURKB"
"209","Protein Autophosphorylation (GO:0046777)","3/162",0.0337240256177184,0.14831945162622,0,0,4.43710691823899,15.0397725455121,"FYN;AURKB;FGFR1"
"210","Negative Regulation Of DNA-templated Transcription (GO:0045892)","9/1025",0.0339421214843227,0.14831945162622,0,0,2.14608570563295,7.26041936212742,"PRDX5;CBX3;WWC1;CNBP;HMGB2;HMGA1;HMGA2;LRRFIP1;AURKB"
"211","Nitrogen Compound Transport (GO:0071705)","3/163",0.0342513097660141,0.14831945162622,0,0,4.40915178571429,14.8766124879995,"SLC12A2;SLC7A5;SLC3A2"
"212","Negative Regulation Of Cell Migration (GO:0030336)","3/163",0.0342513097660141,0.14831945162622,0,0,4.40915178571429,14.8766124879995,"TPM1;CYP1B1;FGF2"
